code,name,credits,description,prerequisites
MGT 452,— Managing for Operational Excellence,(4 units),"Course Description: Explore the management of operations as applied to manufacturing, as well as services provided both inside & outside the organization. Develop an understanding of how uncertainty affects planning & delivery by looking at fundamental models of operations.",
MGT 454A,— Causal Inference and Statistical Experiments,(2 units),"Course Description: Surveys causal inference methods with applications in business settings, especially marketing. Covers both primary data approaches such as A/B testing and secondary data approaches such as difference-in-differences.",Prerequisite(s): MGT 403A or MGP 403A or MGB 403A.
MGT 454B,— Marketing Analytics,(2 units),"Course Description: Surveys a variety of marketing analytics applications, training students to identify (i) what questions data can answer, and, conversely, (ii) what data is needed to answer a question.",Prerequisite(s): MGT 454A or MGP 454A or MGB 454A.
MGT 460,— Practicum for Corporate Finance & Real Estate,(1 unit),"Course Description: Work in groups to select and value a financial entity. It could be a firm, a sports player, a building, a project, or a patent. Grade based on an in-class presentation and a write-up.",Prerequisite(s): MGT 260.
MGT 460A,— Corporate Finance: Fundamentals,(2 units),"Course Description: Study valuation techniques in applied settings, study a variety of investment decisions, and analyze how capital structure considerations play a role in firm’s investment policies.",Prerequisite(s): MGT 205 or MGP 205 or MGB 205.
MGT 460B,— Corporate Finance: Advanced Topics,(2 units),"Course Description: Advanced course in corporate finance that builds on 460A, with an aim to extend knowledge of the theory and practice of corporate finance.",Prerequisite(s): MGT 460A or MGB 460A; MGP 460A.
MGT 461,— Practicum for Investment Analysis,(1 unit),Course Description: Provides practical experience applying concepts learned in Investment Analysis to a realistic portfolio management setting via a hypothetical exercise. Produce a realistic executive summary and presentation of an investment proposal for a hypothetical client.,Prerequisite(s): MGT 261.
MGT 464,— Practicum for Taxes & Business Strategy,(1 unit),"Course Description: Practical application project drawing from the tax planning theory contained in MGT 264. Project consists of a business formation and operation, change in organization (incorporation), and movement into multi-national and multi-jurisdictional tax.",Prerequisite(s): MGT 264.
MGT 465,— Practicum for Venture Capital,(1 unit),Course Description: Provides an opportunity to apply concepts learned in Venture Capital in a realistic setting. Complete project analyzing a potential investment in a hypothetical venture and prepare an deal term sheet/investment agreement.,Prerequisite(s): MGT 265.
MGT 467,— Practicum for Teams & Technology,(1 unit),"Course Description: Groups investigate the performance, creativity, conflict, information sharing, and leadership behaviors of a real world team. Provide consulting advice to the team, which not only gives analytic skills, but also builds presentation skills.",Prerequisite(s): MGT 267.
MGT 467V,— Teams & Technology,(3 units),Course Description: Theory and practice of managing teams with primary goals of: providing conceptual guidelines for analyzing and diagnosing group dynamics and determining strategic options as a manager; imparting interpersonal skills for implementing effective strategies; understanding how technological change affects team processes.,
MGT 468,— Articulation & Critical Thinking,(4 units),"Course Description: Public speaking, business writing, efficient and critical thinking about business challenges, and defining a personal code of ethics to shape actions and decisions.",
MGT 469,— Practicum for Business Intelligence Technologies,(1 unit),Course Description: Projects applying concepts learned in Business Intelligence Technologies to real business problems.,Prerequisite(s): MGT 269.
MGT 476V,"— Real Estate, Finance & Development",(3 units),"Course Description: Focus on single family, attached, detached, multi-family, and light commercial development. Study factors which make up successful real estate developments. Consider financial aspects involved in land acquisition, land development, construction, and project lending.",Prerequisite(s): (MGT 401A or MGP 401A or MGB 401A); (MGT 405 or MGP 405 or MGB 405).
MGT 482,— Practicum for Supply Chain Management,(1 unit),Course Description: Provides experience applying concepts learned in Supply Chain Management to a realistic management setting via a project.,Prerequisite(s): MGT 282 (can be concurrent) or MGP 282 (can be concurrent) or MGB 282 (can be concurrent); course is a pre-requisite or co-requisite.
MGT 490,— Topics in Business,(1 unit),Course Description: Provides opportunity for students to gain experience in applying business methodologies previously acquired in other GSM courses.,Prerequisite(s): Consent of instructor. Sponsorship of a GSM Academic Senate faculty member; approval of graduate advisor.
MGT 490A,— Topics in Management,(2 units),"This version has ended; see updated course, below.Course Description: Advanced topics in general management. Varied topics to cover more extensively issues discussed in the MBA core such business writing, management, organizational behavior, business communications, development, and workplace processes.",
MGT 490B,— Topics in General Management-Extended,(2 units),"This version has ended; see updated course, below.Course Description: Advanced topics in general management. Varied topics to cover more extensively issues discussed in the MBA core such business writing, management, organizational behavior, business communications, development, finance and workplace processes.",
MGT 490BV,— Topics in Management,(2 units),"Course Description: Advanced topics in general management. Varied topics to cover more extensively issues discussed in the MBA core such business writing, management, organizational behavior, business communications, development, and workplace processes.",
MGT 490V,— Topics in General Management,(3 units),"This version has ended; see updated course, below.Course Description: Advanced topics in general management. Varied topics to cover more extensively issues discussed in MGT 201A and MGT 201B, or current business interest topics in fields of business writing, business communications, development, or workplace processes.",
MGT 492V,— Topics in Finance,(2 units),Course Description: Contemporary and emerging issues in finance. Application of modern techniques of finance to business problems. Use of appropriate electronic database and research techniques.,
MGT 493V,— Topics in Marketing,(3 units),"This version has ended; see updated course, below.Course Description: Advanced topics in marketing, which may include marketing research, new product development, brand management, pricing, distribution management, service marketing, hi-tech marketing, advertising, sales promotions, marketing through the Web.",
MGT 498,— Directed Group Study Management Practicum,(1-12 units),Course Description: Provides the opportunity for students to gain experience in applying business methodologies previously acquired in other GSM courses.,"Prerequisite(s): Consent of instructor. Sponsorship of a GSM Academic Senate faculty member, and approval of graduate advisor."
MGT 499,— Directed Individual Study Management Practicum,(1-12 units),Course Description: Provides the opportunity for students to gain experience in applying business methodologies previously acquired in other Graduate School of Management courses.,Prerequisite(s): Consent of instructor. Sponsorship of a Graduate School of Management Academic Senate faculty member and approval of graduate advisor.
MGV 200AV,— Financial Accounting,(4 units),"Course Description: Introduction to the concepts and objectives underlying the preparation of financial statements. Topics include understanding the accounting cycle, measurement and valuation problems associated with financial statement components, consideration of the usefulness of financial statements in the analysis of a corporation’s operations.",
MGV 200BV,— Managerial Accounting,(4 units),"Course Description: Information managers should know to be effective, including: product costing, motivating people, and differential analysis for decision making. Includes team projects and written and oral presentations.",
MGV 201AV,— The Individual & Group Dynamics,(4 units),"Course Description: Examines basic psychological and social psychological processes shaping human behavior and applies knowledge of these processes to the following organizational problems: motivation, job design, commitment, socialization, culture, individual and group decision making, and team building.",
MGV 201BV,— Organizational Strategy & Structure,(4 units),"Course Description: Strategic management of organizations, including analysis of industries, firm resources and capabilities and corporate strategy. Strategy formulation, implementation and strategic decision-making. Firm and industry life cycles and change. Analysis of organizational design and structure including differentiation and integration.",
MGV 202AV,— Markets & the Firm,(4 units),"Course Description: Examines the interaction of consumers, firms and government, and the effect this interaction has on the use of resources and firm profitability. Fundamental economic concepts such as marginal analysis, opportunity cost, pricing, and externalities are introduced and applied.",
MGV 203AV,— Data Analysis for Managers,(4 units),"Course Description: Introduction to statistics and data analysis for managerial decision making. Descriptive statistics, principles of data collection, sampling, quality control, statistical inference. Application of data analytic methods to problems in marketing, finance, accounting, production, operations, and public policy.",
MGV 203BV,— Forecasting & Managerial Research Methods,(4 units),"Course Description: Influence of government and international factors on business. Distribution of income, business cycles, inflation and interest rates, the federal debt, monetary policy and international trade and finance.",Prerequisite(s): MGV 203AV.
MGV 204V,— Marketing Management,(4 units),"Course Description: Analysis of market opportunities, elements of market research, development of marketing strategies, market planning and implementations, and control systems. Consumer and industrial markets, market segmentation, pricing strategies, distribution channels, promotion, and sales.",
MGV 205V,— Financial Theory & Policy,(4 units),"Course Description: Corporate financial policy and investment management. Covers capital budgeting, optimal financial structure, cost-of-capital determination, risk measurement. Develops basic valuation principles for investments with long-lived and risky cash-flows, and extends these to derivative securities, asset portfolios, investment management and hedging.",
MGV 206V,— Decision Analytics,(4 units),"Course Description: Develops decision-making and problem-solving skills in conjunction with a quantitative model-building approach. Emphasis on how structured modeling techniques, probability forecasts, simulations, and computer optimization models are used in the overall process of making decisions in an uncertain environment.",
MGV 207V,— Management Information Systems,(4 units),"Course Description: Introduction to computer programming and data handling skills. Use of computer in organizations, emphasis on managerial aspects of computing. Standard and nonstandard uses of data files, centralization versus decentralization of computing, office automation, computer security.",
MGV 215V,— Business Law,(4 units),"Course Description: Introduction to law and legal process in the United States. Sources of law. Structure and operation of courts, federal-state relationships, fundamentals of administrative law, fundamentals of business law.",
MGV 223V,— Power & Influence,(4 units),"Course Description: Investigation of the bases of power in organizations and the tactics used to translate power into influence. Topics include the control of resources (including information), social psychological processes (including commitment), the construction of meaning, and ethics.",Prerequisite(s): MGV 201AV.
MGV 224V,— Managing People in High-Performance Organizations,(4 units),"Course Description: Explore choices firms make in managing workers–decisions as to wages, benefits, working conditions, and other management policies and practices. Analyze employment systems' fit with firms' environments and strategies, and the consequences of choices managers make regarding policies and practices.",Prerequisite(s): MGV 201AV.
MGV 226V,— The Causes of Organizational Wrongdoing,(4 units),"Course Description: Explores the reasons why otherwise ethical, socially responsible, and law-abiding people become involved in wrongful courses of action in organizations.",Prerequisite(s): MGV 201AV.
MGV 234V,— Pricing,(4 units),"Course Description: Combines lectures, cases and homework to teach students tools and skills necessary to analyze pricing situations, make pricing decisions, and implement them, in a systematic manner.",Prerequisite(s): MGV 202AV; MGV 203BV; MGV 204V.
MGV 239V,— Digital Marketing,(4 units),"Course Description: Equips students for a career in digital marketing and social media. Topics include online advertising, search engine optimization, interactive marketing, online privacy issues, e-commerce, social influence, social network theory, measurement of social influence and integrating social and traditional media.",
MGV 241V,— New Product Development,(4 units),Course Description: State-of-the-art concepts and methods to enhance the effectiveness of new product development activities. Focuses on the understanding of managerial issues and acquiring the ability to solve problems.,
MGV 243V,— Customer Relationship Management,(4 units),"Course Description: Customer Relationship Management (CRM) is a management approach under which marketing activities are organized and measured around customers (rather than around brands.) This approach is appealing because customers, not brands, are those who make buying decisions.",Prerequisite(s): MGV 204V.
MGV 244V,— New & Small Business Ventures,(4 units),"Course Description: Teams develop complete business plans for their own start-up ventures. Process includes: elevator pitch, business strategy, comprehensive bottoms-up financial projections, capital requirements, product differentiation, competitive, alliance, and go-to-market strategy development, investor presentation, and comprehensive written business plan.",Prerequisite(s): MGV 201AV.
MGV 246V,— Negotiations in Organizations,(4 units),"Course Description: Basic theory of negotiation; applies theory to process of building teams to achieve business purposes. Covers integrative and distributive strategies of claiming value, how to recognize bargaining tricks, uncovering hidden agendas, brainstorming to extend Pareto frontier.",
MGV 248V,— Marketing Strategy,(4 units),"Course Description: Examines process by which organizations develop strategic marketing plans. Includes definition of activities and products, marketing audits, appraising market opportunities, design of new activities and products, and organizing marketing planning function. Applications to problems in private and public sector marketing.",Prerequisite(s): MGV 204V.
MGV 249V,— Marketing Research,(4 units),"Course Description: Addresses the managerial issues and problems of systematically gathering and analyzing information for making private and public marketing decisions. Covers the cost and value of information, research design, information collection, measuring instruments, data analysis, and marketing research applications.",Prerequisite(s): MGV 202AV; MGV 203AV; MGV 204V.
MGV 250V,— Technology Competition & Strategy,(4 units),"Course Description: Covers business strategies for firms that make technology products. Looks at distinctive economic forces affecting supply, demand, and markets, asks: How do these forces impact market outcomes? And how should firms shape their competitive strategy?",Prerequisite(s): MGV 202AV; MGV 203AV.
MGV 251V,— Management of Innovation,(4 units),"Course Description: Managing innovative enterprise in changing and uncertain environments. Covers technology forecasting and assessment, program selection and control, financial management, regulation, and ethics.",Prerequisite(s): MGV 201AV.
MGV 252V,— Managing for Operational Excellence,(4 units),"Course Description: Explore the management of operations as applied to manufacturing, as well as services provided both inside & outside the organization. Develop an understanding of how uncertainty affects planning & delivery by looking at fundamental models of operations.",Prerequisite(s): MGV 203AV or MGV 403AV.
MGV 253V,— Corporate Social Responsibility,(4 units),"Course Description: Develop a thought process and approach to corporate social responsibility that students will be able to build on during their post-school leadership roles, whether as corporate executives, entrepreneurs, or NGO leaders.",
MGV 254V,— Marketing Analytics,(4 units),"Course Description: Several econometric models commonly used in marketing practice. How data and models can be used to answer questions, generate forecasts, and make decisions.",Prerequisite(s): MGV 203AV.
MGV 255V,— Entrepreneurship Clinic,(4 units),"Course Description: Provides the necessary analytical and design tools to create business ideas and refine business models based on emerging technologies. Students learn to work closely in small teams to synthesize technical, strategic, and marketing needs into designs for new ventures.",
MGV 258V,— Mergers & Acquisitions,(4 units),"Course Description: Focuses on the market for corporate acquisitions and restructuring activity. Topics include: sources of value creation; takeovers; anti-takeover provisions; bidding strategies; use of leverage in buyouts; regulatory risk and hurdles; and, valuation approaches for highly leveraged transactions.",Prerequisite(s): MGV 205V.
MGV 259V,— Banking & the Financial System,(4 units),Course Description: Analyzes the role of financial markets and institutions in allocating capital. Focuses on: bank lending; debt securities; financial market innovations; regulation; functions of commercial banks and other financial intermediaries. Utilizes case studies.,Prerequisite(s): MGV 205V.
MGV 260V,— Corporate Finance,(4 units),"Course Description: Planning, acquiring, and managing a company's financial resources. Financial aspects of mergers and other forms of reorganization; analysis of investment, financial, and dividend policy; and theories of optimal capital structure.",Prerequisite(s): MGV 200AV or MGV 202AV or MGV 205V.
MGV 261V,— Investment Analysis,(4 units),"Course Description: Examines asset pricing theories and relevant evidence, including the investment performance of stocks and bonds. Topics include the efficiency of markets, domestic and international portfolio diversification, factors influencing the value of stocks and other investments, and portfolio management and performance.",Prerequisite(s): MGV 203AV; MGV 205V.
MGV 263V,— Derivative Securities,(4 units),"Course Description: Behavior of options, futures, and other derivative securities markets and how public agencies, business and others use those markets. Trading strategies involving options, swaps, and financial futures contracts. Pricing of derivative securities, primarily by arbitrage methods.",Prerequisite(s): MGV 203AV; MGV 205V.
MGV 264V,— Business Taxation,(4 units),"Course Description: Analysis of the impact of business taxation on investment, production, and finance decisions. Relationship between business organization and tax liability. Not intended for tax specialists.",Prerequisite(s): MGV 200AV.
MGV 265V,— Technology Finance & Valuation,(4 units),Course Description: Examines venture capital finance and the related practice of R&D finance. Goal is to apply finance tools and framework to the world of venture capital and financing of projects in high-growth industries.,Prerequisite(s): MGV 205V (can be concurrent).
MGV 267V,— Teams & Technology,(4 units),"Course Description: Theory and practice of managing teams with primary goals of: providing conceptual guidelines for analyzing and diagnosing group dynamics and determining strategic options as a manager, imparting interpersonal skills for implementing effective strategies, understanding how technological change affects team processes.",
MGV 268V,— Articulation & Critical Thinking,(4 units),"Course Description: Public speaking, business writing, efficient and critical thinking about business challenges, and defining a personal code of ethics to shape actions and decisions.",
MGV 269V,— Data Mining,(4 units),"Course Description: Descriptive and Predictive Data mining methods covering association rules, clustering, classification, text mining, etc. Big data Technologies. Business applications. Hands-on data mining skills. Business intelligence for managerial decision making.",Prerequisite(s): MGV 203BV.
MGV 270V,— Corporate Financial Reporting,(4 units),"Course Description: Analyzes and evaluates contemporary issues in financial reporting and develops implications of those issues for business decision makers, investment managers, and accounting policymakers.",Prerequisite(s): MGV 200AV.
MGV 272V,— Evaluation of Financial Information,(4 units),"Course Description: Studies how investors, creditors, others use accounting and other information in making rational investment, lending decisions. Emphasis is placed on the analysis of financial information in a variety of contexts. Where applicable, recent research in finance and economics is discussed.",Prerequisite(s): MGV 200AV.
MGV 276V,"— Real Estate, Finance & Development",(4 units),"Course Description: Focus on single family, attached, detached, multi-family, and light commercial development. Study factors that make up successful real estate developments. Consider financial aspects involved in land acquisition, land development, construction, and project lending.",Prerequisite(s): MGV 205V; MGV 201AV.
MGV 282V,— Supply Chain Management,(4 units),"Course Description: Matching supply with demand is a primary challenge for a firm: excess supply is too costly, inadequate supply irritates customers. Matching supply to demand is easiest when a firm has a flexible supply process, but flexibility is generally expensive.",Prerequisite(s): MGV 204V.
MGV 285V,— Time Series Analysis & Forecasting,(4 units),"Course Description: Consider application of time series methods to evaluation & forecasting problems. Covers univariate & multivariate ARIMA models and transfer function models. Applications in such areas as economics, finance, budgeting, program evaluation, and industrial process control.",
MGV 287V,— Business Database & Database Marketing,(4 units),"Course Description: Practical introduction to fundamental principles of database management systems and database marketing. Database design. SQL queries. Concepts of database marketing, data warehouse, data visualization and big data analytics.",Prerequisite(s): Graduate standing in the Graduate School of Management or consent of instructor required.
MGV 290V,— Topics in General Management,(4 units),"Course Description: Advanced topics in general management. Varied topics to cover more extensively issues discussed in MGV 201AV and MGV 201BV, or current business interest topics in fields of business writing, business communications, development, or workplace processes.",
MGV 297V,— Topics in International Management,(4 units),"Course Description: International environment in which U.S. firms and their foreign competitors operate. May integrate topics in marketing, strategy, finance, accounting, information technology, or technology management in an international context.",Prerequisite(s): Graduate standing in the Graduate School of Management or consent of instructor required.
MGV 400AV,— Financial Accounting,(4 units),"Course Description: Introduction to the concepts and objectives underlying the preparation of financial statements. Topics include understanding the accounting cycle, measurement and valuation problems associated with financial statement components, consideration of the usefulness of financial statements in the analysis of a corporation’s operations.",Prerequisite(s): MGV 438V.
MGV 401AV,— The Individual & Group Dynamics,(4 units),"Course Description: Examines basic psychological and social psychological processes shaping human behavior and applies knowledge of these processes to the following organizational problems: motivation, job design, commitment, socialization, culture, individual and group decision making, and team building.",
MGV 401BV,— Organizational Strategy & Structure,(4 units),"Course Description: Strategic management of organizations, including analysis of industries, firm resources and capabilities and corporate strategy. Strategy formulation, implementation and strategic decision-making. Firm and industry life cycles and change. Analysis of organizational design and structure including differentiation and integration.",
MGV 402AV,— Markets & The Firm,(4 units),"Course Description: Examines the interaction of consumers, firms and government, and the effect this interaction has on the use of resources and firm profitability. Fundamental economic concepts such as marginal analysis, opportunity cost, pricing, and externalities are introduced and applied.",
MGV 403AV,— Data Analysis for Managers,(4 units),"Course Description: Introduction to statistics and data analysis for managerial decision making. Descriptive statistics, principles of data collection, sampling, quality control, statistical inference. Application of data analytic methods to problems in marketing, finance, accounting, production, operations, and public policy.",Prerequisite(s): MGV 438V.
MGV 404V,— Marketing Management,(4 units),"Course Description: Analysis of market opportunities, elements of market research, development of marketing strategies, market planning and implementations, and control systems. Consumer and industrial markets, market segmentation, pricing strategies, distribution channels, promotion, and sales.",
MGV 405V,— Financial Theory & Policy,(4 units),"Course Description: Corporate financial policy and investment management. Covers capital budgeting, optimal financial structure, cost-of-capital determination, risk measurement. Develops basic valuation principles for investments with long-lived and risky cash-flows, and extends these to derivative securities, asset portfolios, investment management and hedging.",
MGV 438V,— Quantitative Tools for Business,(4 units),"Course Description: Quantitative analysis and business storytelling through practical quantitative frameworks, descriptive procedures and real life case studies.",
MGV 440V,— Integrated Management Project,(4 units),"Course Description: Examines the scope of missions, objectives strategies, policies, structures, measurements and incentives which bear on the management of an organization. Simulated organizations in the private and public sectors, are assigned to student teams as the subjects of study.",Prerequisite(s): First-year core courses of online MBA program.
MGV 445V,— Product Management,(4 units),"Course Description: Overview of the requirements, issues, and tools involved in marketing of products and services via lectures, case studies, and a hands-on, quarter-long competitive simulation.",Prerequisite(s): MGV 204V.
MGV 452V,— Managing for Operational Excellence,(4 units),"Course Description: Explore the management of operations as applied to manufacturing, as well as services provided both inside & outside the organization. Develop an understanding of how uncertainty affects planning & delivery by looking at fundamental models of operations.",
MGV 468V,— Articulation & Critical Thinking,(4 units),"Course Description: Public speaking, business writing, efficient and critical thinking about business challenges, and defining a personal code of ethics to shape actions and decisions.",
MGV 469V,— Machine Learning with Python,(4 units),"Course Description: Introduction to Machine Learning methods covering association rules, clustering, classification, and numeric prediction. Hands-on Machine Learning skills with Python. Big data technologies. Business applications.",Prerequisite(s): MGV 203AV.
MGV 475V,— R & SQL for Business Analytics,(4 units),Course Description: Introduces programming concepts and how they can be applied to derive insights from data and make management decisions.,
MGV 490A,— Topics in Management,(2 units),"This version has ended; see updated course, below.Course Description: Advanced topics in general management. Varied topics to cover more extensively issues discussed in the MBA core such business writing, management, organizational behavior, business communications, development, and workplace processes.",
MGV 490AV,— Topics in Management,(2 units),"Course Description: Advanced topics in general management. Varied topics to cover more extensively issues discussed in the MBA core such business writing, management, organizational behavior, business communications, development, and workplace processes.",
MGV 490BV,— Topics in Management–Extended,(4 units),"Course Description: Extended topics in general management. Varied topics to cover more extensively; management, organizational behavior, finance, marketing, accounting and business analytics.",
MGP 200A,— Financial Accounting,(3 units),"Course Description: Introduction to the concepts and objectives underlying the preparation of financial statements. Topics include understanding the accounting cycle, measurement and valuation problems associated with financial statement components, consideration of the usefulness of financial statements in the analysis of a corporation's operations.",Prerequisite(s): Graduate student in the Graduate School of Management.
MGP 200B,— Managerial Accounting,(3 units),"Course Description: Information managers should know to be effective, including: product costing, motivating people, and differential analysis for decision making. Includes team projects and written and oral presentations.",Prerequisite(s): MGT 200A or MGB 200A or MGP 200A.
MGP 201A,— The Individual & Group Dynamics,(3 units),"Course Description: Examines basic psychological and social psychological processes shaping human behavior and applies knowledge of these processes to the following organizational problems: motivation, job design, commitment, socialization, culture, individual and group decision making, and team building.",Prerequisite(s): Graduate student in the Graduate School of Management.
MGP 201B,— Organizational Strategy & Structure,(3 units),"Course Description: Strategic management of organizations, including analysis of industries, firm resources and capabilities and corporate strategy. Strategy formulation, implementation and strategic decision-making. Firm and industry life cycles and change. Analysis of organizational design and structure including differentiation and integration.",Prerequisite(s): Completion of first year courses in Graduate School of Management or equivalent.
MGP 202A,— Markets & the Firm,(3 units),"Course Description: Examines the interaction of consumers, firms and government, and the effect this interaction has on the use of resources and firm profitability. Fundamental economic concepts such as marginal analysis, opportunity cost, pricing, and externalities are introduced and applied.",Prerequisite(s): Graduate student in the Graduate School of Management.
MGP 202B,"— Business, Government, & the International Economy",(3 units),"Course Description: Examines the influence of government and international factors on business. Topics include distribution of income, business cycles, inflation and interest rates, the federal debt, monetary policy and international trade and finance.",Prerequisite(s): MGP 202A or MGT 202A or MGV 202AV.
MGP 203A,— Data Analysis for Managers,(3 units),"Course Description: Introduction to statistics and data analysis for managerial decision making. Descriptive statistics, principles of data collection, sampling, quality control, statistical inference. Application of data analytic methods to problems in marketing, finance, accounting, production, operations, and public policy.",Prerequisite(s): Graduate student in the Graduate School of Management MBA program or consent of instructor.
MGP 203B,— Forecasting & Managerial Research Methods,(3 units),"Course Description: Practical statistical methods for managerial decision making covers regression analysis, time series analysis and forecasting, design and analysis of experiments in managerial research and contingency table analysis. Application of these methods to marketing, finance, accounting, production, operations, and public policy.",Prerequisite(s): MGP 203A or MGT 203A or MGB 203A.
MGP 204,— Marketing Management,(3 units),"Course Description: Analysis of market opportunities, elements of market research, development of marketing strategies, market planning and implementations, and control systems. Consumer and industrial markets, market segmentation, pricing strategies, distribution channels, promotion, and sales.",Prerequisite(s): Graduate student in the Graduate School of Management.
MGP 205,— Financial Theory & Policy,(3 units),"Course Description: Corporate financial policy and investment management. Covers capital budgeting, optimal financial structure, cost-of-capital determination, risk measurement. Develops basic valuation principles for investments with long-lived and risky cash-flows, and extends these to derivative securities, asset portfolios, investment management and hedging.",Prerequisite(s): Graduate student in the Graduate School of Management.
MGP 206,— Decision Making & Management Science,(3 units),"Course Description: Develops decision-making and problem-solving skills in conjunction with a quantitative model-building approach. Emphasizes how structured modeling techniques, probability forecasts, simulations, and computer optimization models are used in the overall process of making decisions in an uncertain environment.",Prerequisite(s): Graduate student in the Graduate School of Management MBA program or consent of instructor.
MGP 207,— Management Information Systems,(3 units),"Course Description: Introduction to computer programming and data handling skills. Use of computer in organizations, emphasis on managerial aspects of computing. Standard and nonstandard uses of data files, centralization versus decentralization of computing, office automation, computer security.",Prerequisite(s): Graduate student or consent of instructor.
MGP 215,— Business Law,(3 units),"Course Description: Introduction to law and legal process in the United States. Sources of law. Structure and operation of courts, federal-state relationships, fundamentals of administrative law, fundamentals of business law.",Prerequisite(s): Completion of administration core requirements or petition with consent of instructor.
MGP 216,"— Managing Professionals, Budgets, Controls & Ethics",(3 units),"Course Description: Performance measures, budgetary controls and ethical pressures which occur at middle management levels in service-type operations. Addresses such organizations as engineering, medical groups, law offices, management consultants.",Prerequisite(s): Graduate standing.
MGP 220,— Management of Social Networks,(3 units),"Course Description: Principles and applications of social network theory: coordinating divergent interests to create value for individuals and organizations. Emphasis on conceptual models, web-based diagnostic tools, and practical applications.",Prerequisite(s): MGP 201A.
MGP 223,— Power & Influence in Management,(3 units),"Course Description: Investigation of the bases of power in organizations and the tactics used to translate power into influence. Topics include the control of resources (including information), social psychological processes (including commitment), the construction of meaning, and ethics.",Prerequisite(s): MGT 201A or MGB 201A or MGP 201A; consent of instructor.
MGP 224,— Managing People in High-Performance Organizations,(3 units),"Course Description: Strategic approach to the management of people within organization. Analyze employment systems' fit with firms' environments and strategies. Explore consequences of choices firms make in managing people; decisions as to selection, performance evaluation, compensation, and other management policies and practices.",Prerequisite(s): MGT 201A or MGB 201A or MGP 201A.
MGP 234,— Pricing,(3 units),"This version has ended; see updated course, below.Course Description: Combines lectures, cases and homework to teach students tools and skills necessary to analyze pricing situations, make pricing decisions, and implement them, in a systematic manner.",Prerequisite(s): (MGT 202A or MGV 202AV or MGP 202A); (MGP 203B or MGB 203B or MGT 203B); (MGT 204 or MGB 204 or MGP 204).
MGP 239,— Digital Marketing,(3 units),"Course Description: Equips students for a career in digital marketing and social media. Topics include online advertising, search engine optimization, interactive mktg, online privacy issues, e-commerce, social influence, social network theory, measurement of social influence, integrating social and traditional media.",Prerequisite(s): MGP 204 or MGT 204 or MGB 204.
MGP 240,— Management Policy & Strategy,(3 units),"Course Description: Examines the scope of missions, objectives strategies, policies, structures, measurements and incentives which bear on the management of an organization. Real client organizations, in the private and public sectors, are assigned to student teams as the subjects of study.",Prerequisite(s): First-year core courses of M.B.A. program.
MGP 241,— New Product Development,(3 units),Course Description: State-of-the-art concepts and methods to enhance the effectiveness of new product development activities. Focuses on the understanding of managerial issues and acquiring the ability to solve problems.,Prerequisite(s): MGT 204 or MGB 204 or MGP 204.
MGP 242,— Marketing Communications,(3 units),"Course Description: Issues in designing a marketing communications strategy. Topics include mass and direct communications, institutional aspects of advertising, consumer behavior, evaluating ad effectiveness, determining ad budget, creative strategy, and use and abuse of promotions.",
MGP 243,— Customer Relationship Management,(3 units),"Course Description: Customer Relationship Management (CRM) is a management approach under which marketing activities are organized and measured around customers (rather than around brands.) This approach is appealing because customers, not brands, are those who make buying decisions.",Prerequisite(s): MGT 204 or MGP 204 or MGB 204.
MGP 244,— New & Small Business Ventures,(3 units),"Course Description: Student teams develop complete business plans for their own start-up ventures. Process includes: elevator pitch, business strategy, comprehensive bottoms-up financial projections, capital requirements, product differentiation, competitive, alliance, and go-to-market strategy development, investor presentation, and comprehensive written business plan.",Prerequisite(s): MGT 204 or MGB 204 or MGP 204.
MGP 245,— Business Writing,(3 units),"Course Description: Techniques for sharpening writing skills are introduced, along with grammatical structure, word choice, and punctuation. Learn to develop styles that are pitch-perfect for given situations and to think strategically about each communication challenge in a management setting.",Prerequisite(s): Completion of first-year core courses at the Graduate School of Management or the equivalent.
MGP 246,— Negotiation & Team Building,(3 units),"Course Description: Basic theory of negotiation; applies theory to process of building teams to achieve business purposes. Covers integrative and distributive strategies of claiming value, how to recognize bargaining tricks, uncovering hidden agendas, brainstorming to extend Pareto frontier.",Prerequisite(s): MGP 205; MGP 202.
MGP 247,— Customer Service as a Marketing Tool,(3 units),"Course Description: Understanding the distinct features of services, how to create value through service, methods of building strong relationships with customers, methods of measuring and building customer satisfaction, and measuring the financial impact of service improvement.",
MGP 248,— Marketing Strategies,(3 units),"Course Description: Examines process by which organizations develop strategic marketing plans. Includes definition of activities and products, marketing audits, appraising market opportunities, design of new activities and products, and organizing marketing planning function. Applications to problems in private and public sector marketing.",Prerequisite(s): (MGT 202A or MGV 202AV or MGP 202A); (MGP 204 or MGB 204 or MGT 204).
MGP 249,— Marketing Research,(3 units),"Course Description: Addresses the managerial issues and problems of systematically gathering and analyzing information for making private and public marketing decisions. Covers the cost and value of information, research design, information collection, measuring instruments, data analysis, and marketing research applications.",Prerequisite(s): (MGT 202A or MGV 202AV or MGP 202A); (MGP 203A or MGB 203A or MGT 203A); (MGT 204 or MGB 204 or MGP 204).
MGP 250,"— Technology, Competition & Strategy",(3 units),"Course Description: Why is software typically so defective? Why do many firms in the IT industry give away their best products free? Helps analyze questions like these by modeling competition and strategy in the network, technology and information industries.",Prerequisite(s): (MGT 202A or MGV 202AV or MGP 202A); (MGP 203A or MGB 203A or MGT 203A).
